town_id,town,elec,gas,cable,elec_2005,gas_2005,cable_2005
86,EASTHAM,NSTAR,National Grid,Comcast,NSTAR,KeySpan,Comcast
87,EASTHAMPTON,WMECO,Bay State,Charter,WMECO,Bay State,Charter
88,EASTON,National Grid,Bay State,Comcast,National Grid,Bay State; KeySpan,Comcast
89,EDGARTOWN,NSTAR,None,Comcast,NSTAR,None,Adelphia
90,EGREMONT,National Grid,None,None,National Grid,None,None
91,ERVING,National Grid,None,Comcast,National Grid; WMECO,None,Comcast
92,ESSEX,National Grid,National Grid,Comcast,National Grid,KeySpan,Adelphia
93,EVERETT,National Grid,National Grid,Comcast; RCN,National Grid,KeySpan,Comcast
94,FAIRHAVEN,NSTAR,NSTAR,Comcast; RCN,NSTAR,NSTAR,Comcast
95,FALL RIVER,National Grid,New England Gas,Comcast,National Grid,New England Gas,Comcast
96,FALMOUTH,NSTAR,National Grid,Comcast,NSTAR,KeySpan,Adelphia
97,FITCHBURG,UNITIL,UNITIL,Comcast,UNITIL,UNITIL,Comcast
98,FLORIDA,National Grid,None,None,National Grid,None,None
99,FOXBOROUGH,National Grid,Bay State,Comcast; RCN,National Grid,Bay State; KeySpan,Comcast
100,FRAMINGHAM,NSTAR,NSTAR,Comcast; Verizon,NSTAR,KeySpan; NSTAR,Comcast; RCN
101,FRANKLIN,National Grid,Bay State,Comcast; RCN; Verizon,National Grid,Bay State; KeySpan,Comcast
102,FREETOWN,NSTAR,NSTAR,Comcast,NSTAR,NSTAR,Comcast
103,GARDNER,National Grid,UNITIL,Comcast,National Grid,UNITIL,Comcast
104,AQUINNAH,NSTAR,None,Comcast,NSTAR,None,Adelphia
105,GEORGETOWN,Municipal,National Grid,Comcast; Verizon,Municipal,KeySpan,Comcast
106,GILL,WMECO,None,Comcast,WMECO,None,Comcast
107,GLOUCESTER,National Grid,National Grid,Comcast,National Grid,KeySpan,Adelphia
108,GOSHEN,National Grid,None,None,National Grid,None,None
109,GOSNOLD,Municipal,None,None,Municipal,None,None
110,GRAFTON,National Grid,NSTAR,Charter,National Grid,NSTAR,Charter
111,GRANBY,National Grid,Bay State,Comcast,National Grid,Bay State,Comcast
112,GRANVILLE,WMECO,None,Comcast,WMECO,None,Comcast
113,GREAT BARRINGTON,National Grid,Berkshire Gas,Time Warner,National Grid,Berkshire Gas,Adelphia
114,GREENFIELD,WMECO,Berkshire Gas,Comcast,WMECO,Berkshire Gas,Comcast
115,GROTON,Municipal,National Grid,Charter,Municipal,KeySpan,Charter
286,STOW,Municipal,NSTAR,Comcast,Municipal,KeySpan; NSTAR,Comcast
287,STURBRIDGE,National Grid,None,Charter,National Grid,None,Charter
288,SUDBURY,NSTAR,National Grid,Comcast,NSTAR,KeySpan,Comcast
289,SUNDERLAND,WMECO,Berkshire Gas,Comcast,WMECO,Berkshire Gas,Comcast
290,SUTTON,National Grid,NSTAR,Charter,National Grid,NSTAR,Charter
291,SWAMPSCOTT,National Grid,National Grid,Comcast; Verizon,National Grid,KeySpan,Comcast
292,SWANSEA,National Grid,New England Gas,Comcast,National Grid,New England Gas,Comcast
293,TAUNTON,Municipal,Bay State,Comcast,Municipal,Bay State,Comcast
294,TEMPLETON,Municipal,None,Comcast,Municipal,None,Comcast
295,TEWKSBURY,National Grid,National Grid,Comcast; Verizon,National Grid,KeySpan,Comcast
296,TISBURY,NSTAR,None,Comcast,NSTAR,None,Adelphia
297,TOLLAND,WMECO,None,None,WMECO,None,None
298,TOPSFIELD,National Grid,National Grid,Comcast; Verizon,National Grid,KeySpan,Comcast
299,TOWNSEND,UNITIL,UNITIL,Comcast,UNITIL,UNITIL,Comcast
